Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Kazakhstan,KAZ,..,..,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Kenya,KEN,..,..,..,23.9,..,..,..,..,27.8,28.7,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Kiribati,KIR,..,..,..,..,..,..,..,3.8,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Korea, Rep.",KOR,..,..,0.2,..,0.1,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Kosovo,XKX,..,..,1.4,0.9,0.9,0.8,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Kyrgyz Republic,KGZ,..,30.7,3,4.2,3,3.1,2.2,2,3.5,2.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Lao PDR,LAO,..,..,..,..,..,..,8.7,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Latvia,LVA,..,..,0.8,0.7,0.6,0.7,0.4,0.3,0.4,0.4,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Lesotho,LSO,..,..,..,..,..,25.1,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Liberia,LBR,..,..,21.6,..,22.9,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Lithuania,LTU,..,..,1.2,0.8,1.1,1,0.7,0.5,0.3,0.2,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Luxembourg,LUX,0,0,0.1,0.3,0.1,0.2,0.2,0.1,0,0.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Malawi,MWI,..,..,..,..,47.7,..,..,50.9,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Malaysia,MYS,..,..,..,0.1,..,..,0,..,..,0,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Maldives,MDV,..,..,..,..,0,..,..,0,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Mali,MLI,..,..,..,..,..,..,15.2,..,..,18.9,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Malta,MLT,..,..,0,0.1,0.1,0.1,0.1,0.2,0.2,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Marshall Islands,MHL,..,..,..,..,..,..,..,1.4,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Mauritania,MRT,..,18.3,7.3,..,..,..,..,6.8,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Mauritius,MUS,..,..,..,..,..,0.3,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Mexico,MEX,..,9.1,4,..,2.5,..,2.1,..,2.3,..,1.3,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Moldova,MDA,..,25.7,0.1,0.1,0.2,0.1,0.1,0.1,..,0.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Mongolia,MNG,..,..,0.8,..,1.6,..,1.3,..,..,..,0.4,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Montenegro,MNE,..,..,2.2,2,2.5,3.1,2.4,1.5,1.6,1.7,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Morocco,MAR,6.1,9.1,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Mozambique,MOZ,..,..,48.4,..,..,..,..,56.3,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Myanmar,MMR,..,..,..,7.9,..,4,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Namibia,NAM,..,..,..,13.3,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Netherlands,NLD,0.9,..,0.1,0,0,0.1,0.1,0.1,0,0.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
