country_name,country_code,status,access_to_electricity,gross_domestic_income,life_expectancy,control_of_corruption_percentile,control_of_corruption_estimate,population_0_14%,population_65_above_total,population_15_64_total,consumer_price_index_2010,inflation_annual%,gdp_current_usd,gdp_growth_annual%,gdp_per_capita_current_usd,imports_%gdp,military_expenditure_%gdp,high_technology_exports_usd,freedom_status,political_rights,civil_liberties,total_freedom_score
Singapore,SGP,1.0,100.0,589000000000.0,82.9,98.58,2.09,11.84,852166,4117459,123.98,6.12,498000000000.0,3.84,88428.7,147.22,2.77,94102974777.0,Partly Free,19.0,29.0,48.0
Slovak Republic,SVK,1.0,100.0,86415064570.0,77.07,60.38,0.21,15.74,922176,3654639,136.77,12.77,116000000000.0,1.87,21279.46,104.65,1.76,7897423538.0,Free,36.25,53.4375,89.6875
Slovenia,SVN,1.0,100.0,46611968575.0,81.28,78.3,0.77,15.12,442654,1350072,123.11,8.83,60063475466.0,2.46,28439.33,91.88,1.19,3881308703.0,Free,39.0,57.0,96.0
Solomon Islands,SLB,0.0,76.0,11393611905.0,70.74,49.06,-0.18,39.11,25107,415907,144.4,5.52,1566360686.0,2.4,2162.67,51.75,1.45,77454299.5,Free,28.0,47.0,75.0
Somalia,SOM,0.0,48.9,280000000000000.0,56.11,0.47,-1.79,47.16,452258,8845479,156.81,7.949999999999999,10419541202.0,2.44,592.1,78.53,1.45,77454299.5,Not Free,2.0,6.0,8.0
South Africa,ZAF,0.0,86.5,4780000000000.0,61.48,44.81,-0.32,28.55,3529541,39264163,183.68,7.04,405000000000.0,1.91,6766.48,31.52,0.74,2475526790.0,Free,33.0,46.0,79.0
South Sudan,SSD,0.0,8.4,1710000000000.0,55.57,0.0,-1.86,43.87,315423,5810660,21061.34,-6.69,29504829319.0,4.17,5023.25,42.18,3.02,77454299.5,Not Free,-3.0,4.0,1.0
Spain,ESP,1.0,100.0,1160000000000.0,83.08,75.0,0.69,13.8,9682299,31503646,123.59,8.39,1420000000000.0,5.77,29674.54,39.66,1.47,32851519783.0,Free,37.0,53.0,90.0
Sri Lanka,LKA,0.0,100.0,11800000000000.0,76.61,40.09,-0.38,22.82,2558980,14560801,264.53,49.72,74144875098.0,-7.35,3342.72,25.12,1.43,103354129.0,Partly Free,22.0,32.0,54.0
St. Kitts and Nevis,KNA,0.0,100.0,1335000000000.0,72.03,65.09,0.39,19.51,4822,33539,107.02,2.67,981429629.0,10.52,20593.61,47.81,1.46,322122034.0,Free,35.0,54.0,89.0
St. Lucia,LCA,0.0,100.0,1335000000000.0,71.29,70.75,0.58,18.04,16603,130809,118.5,6.38,2343703788.0,18.08,13030.93,47.81,1.46,322122034.0,Free,38.0,54.0,92.0
St. Vincent and the Grenadines,VCT,0.0,100.0,1335000000000.0,68.97,77.36,0.76,21.93,11283,69875,118.02,5.66,966492592.0,7.16,9297.85,47.81,1.46,322122034.0,Free,36.0,54.0,90.0
Sudan,SDN,0.0,63.2,21262252429.0,65.58,6.6,-1.4,40.93,1640370,26048486,38796.56,138.81,51666875363.0,-0.96,1102.25,1.13,1.45,77454299.5,Not Free,-3.0,9.0,6.0
Suriname,SUR,0.0,99.0,1710000000000.0,70.29,39.15,-0.41,26.25,45686,410148,964.21,52.45,3620987993.0,2.43,5858.82,42.18,1.45,29033118.0,Free,34.0,45.0,79.0
Sweden,SWE,1.0,100.0,4880000000000.0,83.11,97.64,2.06,17.6,2123501,6517761,122.96,8.37,590000000000.0,2.66,56299.51,50.13,1.31,22976306438.0,Free,40.0,59.0,99.0
Switzerland,CHE,1.0,100.0,732000000000.0,83.45,97.17,2.01,15.05,1694534,5760782,102.22,2.84,818000000000.0,2.57,93259.91,63.23,0.76,77973722315.0,Free,39.0,57.0,96.0
Syrian Arab Republic,SYR,0.0,89.0,1710000000000.0,72.3,0.94,-1.78,31.42,1035520,14139080,156.81,7.949999999999999,29504829319.0,4.17,5023.25,42.18,1.45,77454299.5,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Tajikistan,TJK,0.0,100.0,3943320394.0,71.29,6.13,-1.43,36.27,345591,5997363,156.81,7.949999999999999,10713525200.0,8.0,1076.43,49.08,1.02,3026694.0,Not Free,0.0,5.0,5.0
Tanzania,TZA,0.0,45.8,136000000000000.0,66.78,43.4,-0.34,43.36,2032674,35066910,209.48,4.35,75769974505.0,4.57,1193.36,19.59,1.09,17160700.0,Partly Free,12.0,24.0,36.0
Thailand,THA,0.0,99.9,10400000000000.0,79.68,35.85,-0.45,15.52,10906792,49663033,120.6,6.08,496000000000.0,2.46,6913.05,67.49,1.16,44864080341.0,Partly Free,12.0,24.0,36.0
Timor-Leste,TLS,0.0,99.7,2808854345.0,69.06,46.7,-0.27,34.71,69834,805871,156.81,7.949999999999999,3204753000.0,-20.54,2389.3,41.96,1.11,77454299.5,Free,33.0,39.0,72.0
Togo,TGO,0.0,57.2,4590000000000.0,61.59,27.36,-0.65,39.96,277387,5035345,129.61,7.97,8169476149.0,5.76,923.24,39.89,5.44,1239758.0,Partly Free,15.0,27.0,42.0
Tonga,TON,0.0,100.0,1710000000000.0,71.27,38.21,-0.42,34.26,6639,63611,150.44,10.97,500274898.0,-2.01,4681.68,42.18,1.45,77454299.5,Free,31.0,50.0,81.0
Trinidad and Tobago,TTO,0.0,100.0,1710000000000.0,74.71,40.57,-0.38,19.05,176309,1063135,155.56,5.83,30053575132.0,1.48,19629.47,42.18,0.72,6251561.0,Free,33.0,49.0,82.0
Tunisia,TUN,0.0,100.0,92214364508.0,74.26,47.64,-0.25,24.84,1114633,8172214,187.85,8.31,44579761023.0,2.6,3607.91,65.29,2.48,1041437027.0,Partly Free,16.0,35.0,51.0
Turkey,TUR,0.0,100.0,1980000000000.0,78.47,34.91,-0.47,23.23,7338584,57898247,542.44,72.31,907000000000.0,5.53,10674.5,42.59,1.23,6814962080.0,Not Free,17.0,16.0,33.0
Turkmenistan,TKM,0.0,100.0,1710000000000.0,69.41,5.66,-1.44,31.12,331031,4098501,156.81,7.949999999999999,56542857143.0,6.2,8792.55,13.02,1.45,77454299.5,Not Free,0.0,2.0,2.0
Tuvalu,TUV,0.0,100.0,1710000000000.0,64.85,73.58,0.65,31.69,728,6999,156.81,7.949999999999999,59065982.0,0.68,5221.53,42.18,1.45,77454299.5,Free,37.0,56.0,93.0
Uganda,UGA,0.0,47.1,136000000000000.0,63.64,16.51,-1.04,44.78,800438,25290128,199.27,7.2,45565333216.0,4.59,964.35,22.48,2.06,77454299.5,Not Free,10.0,24.0,34.0
Ukraine,UKR,0.0,100.0,2200000000000.0,68.59,29.25,-0.63,15.43,7147170,24990962,380.32,20.18,162000000000.0,-28.76,4575.98,51.95,33.55,888065427.0,Partly Free,21.0,28.0,49.0
United Arab Emirates,ARE,0.0,100.0,1710000000000.0,79.2,83.49,1.16,15.23,172674,7830368,117.54,4.83,507000000000.0,7.85,53707.98,42.18,1.45,3213488119.0,Not Free,5.0,13.0,18.0
United Kingdom,GBR,1.0,100.0,2080000000000.0,82.06,92.92,1.62,17.47,12995456,42954679,133.66,7.92,3090000000000.0,4.35,45564.16,36.1,2.23,72663086859.0,Free,38.0,53.0,91.0
United States,USA,1.0,100.0,21500000000000.0,77.43,82.55,1.1,17.96,57083129,216334609,134.21,8.0,25700000000000.0,1.94,77246.67,15.41,3.45,166000000000.0,Free,33.0,50.0,83.0
Uruguay,URY,0.0,100.0,1860000000000.0,78.0,91.98,1.61,19.1,533254,2235847,261.82,9.1,70164683290.0,4.71,20499.24,26.88,1.9,186096554.0,Free,40.0,56.0,96.0
Uzbekistan,UZB,0.0,100.0,154000000000000.0,71.67,24.53,-0.76,30.21,1831073,23047260,395.66,11.45,81140823252.0,5.67,2276.16,43.9,1.45,83976164.0,Not Free,2.0,10.0,12.0
Vanuatu,VUT,0.0,70.0,67822453438.0,70.49,53.3,-0.03,39.39,12211,185815,134.7,6.68,1022219298.0,1.92,3128.54,55.46,1.45,77454299.5,Free,32.0,50.0,82.0
"Venezuela, RB",VEN,0.0,100.0,1335000000000.0,71.1,1.89,-1.65,27.57,2436358,18061363,142.415,8.0,42798489584.5,4.13,6913.05,47.81,0.65,322122034.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Viet Nam,VNM,0.0,100.0,5820000000000000.0,74.58,45.75,-0.29,22.39,8951655,67251030,177.31,3.16,410000000000.0,8.12,4179.01,89.98,1.45,123000000000.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
"Yemen, Rep.",YEM,0.0,76.0,1335000000000.0,63.72,1.42,-1.68,39.5,897081,19490300,142.415,8.0,42798489584.5,4.13,698.85,47.81,1.46,322122034.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Zambia,ZMB,0.0,47.8,1710000000000.0,61.8,34.43,-0.53,42.86,349807,11088982,332.78,10.99,29163782140.0,5.25,1456.9,29.1,1.19,11237469.0,Partly Free,23.0,31.0,54.0
Zimbabwe,ZWE,0.0,50.1,226000000000.0,59.39,8.49,-1.26,40.63,542143,9146706,11076.6,104.71,27366627153.0,6.52,1676.82,37.0,0.43,7822102.0,Not Free,10.0,17.0,27.0
